tool	2LS 0.7.1	2LS 0.7.1	2LS 0.7.1	2LS 0.7.1	CPAchecker 1.8	CPAchecker 1.8	CPAchecker 1.8	CPAchecker 1.8	ULTIMATE Automizer 0.1.24-91b1670e	ULTIMATE Automizer 0.1.24-91b1670e	ULTIMATE Automizer 0.1.24-91b1670e	ULTIMATE Automizer 0.1.24-91b1670e	ULTIMATE Taipan 0.1.24-91b1670e	ULTIMATE Taipan 0.1.24-91b1670e	ULTIMATE Taipan 0.1.24-91b1670e	ULTIMATE Taipan 0.1.24-91b1670e
run set	2ls.sv-comp19_prop-reachsafety.ReachSafety-Recursive	2ls.sv-comp19_prop-reachsafety.ReachSafety-Recursive	2ls.sv-comp19_prop-reachsafety.ReachSafety-Recursive	2ls.sv-comp19_prop-reachsafety.ReachSafety-Recursive	cpa-kind.sv-comp19.ReachSafety-Recursive	cpa-kind.sv-comp19.ReachSafety-Recursive	cpa-kind.sv-comp19.ReachSafety-Recursive	cpa-kind.sv-comp19.ReachSafety-Recursive	uautomizer.sv-comp19_prop-reachsafety.ReachSafety-Recursive	uautomizer.sv-comp19_prop-reachsafety.ReachSafety-Recursive	uautomizer.sv-comp19_prop-reachsafety.ReachSafety-Recursive	uautomizer.sv-comp19_prop-reachsafety.ReachSafety-Recursive	utaipan.sv-comp19_prop-reachsafety.ReachSafety-Recursive	utaipan.sv-comp19_prop-reachsafety.ReachSafety-Recursive	utaipan.sv-comp19_prop-reachsafety.ReachSafety-Recursive	utaipan.sv-comp19_prop-reachsafety.ReachSafety-Recursive
../../sv-benchmarks/c/	status	cputime (s)	walltime (s)	memUsage	status	cputime (s)	walltime (s)	memUsage	status	cputime (s)	walltime (s)	memUsage	status	cputime (s)	walltime (s)	memUsage
recursive/Ackermann01-2.yml	true	1.053820641	1.0540054209996015	26980352	EXCEPTION	16.751990128	13.490967911000098	271683584	true	28.038764305	16.497396417999994	491716608	true	53.667067649	31.12092930399922	1026785280
recursive/Ackermann02.yml	false(unreach-call)	1.089148505	1.0750231290003285	26464256	false(unreach-call)	12.746440589	7.031884472999991	218820608	false(unreach-call)	14.192624878	8.198159414000088	289935360	false(unreach-call)	17.552184917	10.317763716999252	333467648
recursive/Ackermann03.yml	ERROR (5)	1.047279434	1.0480004260025453	27004928	TIMEOUT	60.622062132	44.386617362999914	479666176	true	58.736019865	35.34230797300006	716369920	TIMEOUT	60.981307086	36.48752858899934	1120432128
recursive/Ackermann04.yml	false(unreach-call)	1.079450187	1.0714675880008144	27025408	TIMEOUT	60.658551462	40.23500621899984	455913472	true	52.788061745	30.32606312500002	709599232	TIMEOUT	61.156480807	36.92525899300017	1110122496
recursive/Addition01-2.yml	true	22.638729394	22.644922797000618	58060800	TIMEOUT	60.93382916	49.60164015099963	316829696	true	17.14355543	10.03039461800006	378052608	true	20.139935159	12.319481309999901	440668160
recursive/Addition02.yml	false(unreach-call)	22.495620501	22.497632247999718	58056704	false(unreach-call)	10.60069103	5.676901880000514	207888384	false(unreach-call)	12.950283364	7.507857961000013	256061440	false(unreach-call)	13.068474684	7.491235970001071	254517248
recursive/Addition03-1.yml	true	26.694067512	26.695716424001148	114221056	TIMEOUT	60.50715888	45.966183268999885	389758976	TIMEOUT	60.776860478	35.149345091999976	708001792	TIMEOUT	61.015980867	43.06941302500127	792506368
recursive/BallRajamani-SPIN2000-Fig1.yml	false(unreach-call)	7.774998074	7.776306626998121	94461952	false(unreach-call)	9.785723747	5.287579114999971	203956224	false(unreach-call)	11.743498456	6.7468530559999635	245510144	false(unreach-call)	13.093532831	7.600433367000733	266207232
recursive/EvenOdd01-1.yml	TIMEOUT	60.076218897	60.077151784993475	186187776	TIMEOUT	61.141676076	41.13560865799991	415080448	TIMEOUT	61.6427498	39.68387780399996	721416192	TIMEOUT	60.795856849	40.62633799099967	758358016
recursive/EvenOdd03.yml	TIMEOUT	60.076587028	60.07345747799991	186544128	false(unreach-call)	9.469651832	5.064636393000001	195641344	false(unreach-call)	9.903116417	5.8998012029999245	244166656	false(unreach-call)	10.902698964	6.210193343998981	229117952
recursive/Fibonacci01-1.yml	ERROR (5)	0.49131615	0.4912701479988755	22364160	TIMEOUT	60.026755633	48.12481460699928	386936832	true	29.213363044	17.760914497000044	555954176	true	41.936799009	26.571222837999812	671621120
recursive/Fibonacci02.yml	ERROR (5)	10.207452201	10.20892865499627	36700160	true	13.010008718	6.840751303000616	228007936	TIMEOUT	60.786583013	35.76232717499988	1189011456	TIMEOUT	62.01832235	32.264477877999525	1609478144
recursive/Fibonacci03.yml	ERROR (5)	0.447052925	0.4472060949992738	22478848	TIMEOUT	60.925828081	49.68080087300041	333512704	true	50.920948717	30.928245608999987	1062862848	TIMEOUT	61.436748019	38.41861788699862	924942336
recursive/Fibonacci04.yml	ERROR (5)	0.586668088	0.5886768579948694	22409216	false(unreach-call)	18.97612588	10.949298423000073	240209920	false(unreach-call)	20.930918313	12.006959611999946	484098048	false(unreach-call)	34.567992771	19.92975068799933	594333696
recursive/Fibonacci05.yml	ERROR (5)	0.591912014	0.5919764550053515	22515712	false(unreach-call)	49.766553853	38.162443363999955	311521280	false(unreach-call)	33.19668778	19.807559803999993	634716160	false(unreach-call)	58.145668773	35.43610325900045	799490048
recursive/McCarthy91-1.yml	ERROR (5)	0.838708548	0.8390780790068675	22355968	false(unreach-call)	9.226178159	4.936778840000443	194555904	false(unreach-call)	10.481170118	6.125278492000007	244289536	false(unreach-call)	9.748659394	5.750324259999616	236433408
recursive/McCarthy91-2.yml	ERROR (5)	0.841543567	0.841648300003726	22368256	true	9.326975315	5.05839812800059	200396800	true	15.568872438	8.843931356999974	300716032	true	17.043109757	9.762599964000401	369184768
recursive/MultCommutative-2.yml	TIMEOUT	60.072026071	60.07183184099995	116510720	TIMEOUT	60.964945456	48.14317852699969	336220160	TIMEOUT	60.60314948	40.07203018900009	719433728	TIMEOUT	61.01096605	40.22275622900088	709664768
recursive/Primes.yml	true	7.765328174	7.766353147002519	107376640	true	25.851874271	14.522464307000519	270270464	TIMEOUT	60.999082958	38.56231420900008	702959616	TIMEOUT	60.586422747	43.930543368000144	664600576
recursive/gcd01-1.yml	ERROR (5)	3.09143734	3.093229211997823	36241408	true	11.003461912	6.004181708000033	201351168	true	16.824721745	9.652232961999971	356614144	true	16.440522309	9.445153298998775	357535744
recursive/gcd02.yml	false(unreach-call)	2.917453472	2.9172959000061383	49586176	TIMEOUT	60.769963218	50.588299382000514	273797120	TIMEOUT	61.076049851	38.37945363499989	722305024	TIMEOUT	60.40129873	40.53628174500045	704942080
recursive/recHanoi01.yml	true	3.25297643	3.251098840999475	84574208	true	9.901842695	5.3543433029999505	203829248	TIMEOUT	60.790752995	36.639984282000114	751386624	TIMEOUT	61.684443581	32.66809282400027	1262891008
recursive/recHanoi02-2.yml	ERROR (5)	0.653458602	0.6535929849997046	22347776	TIMEOUT	60.131442674	46.1449138400003	452067328	true	11.25567211	6.4730642790000275	254910464	true	11.855909375	6.7786981419994845	251883520
recursive/recHanoi03-2.yml	ERROR (5)	0.648207982	0.6473264969972661	22491136	TIMEOUT	61.617112607	40.84768675899977	423796736	true	18.98329436	11.465331432000085	475385856	TIMEOUT	60.78295542	50.81742974900044	546684928
recursive-simple/afterrec-1.yml	false(unreach-call)	0.24348377	0.25468223500502063	22331392	false(unreach-call)	9.546393911	5.156477187999371	191086592	false(unreach-call)	9.570200199	5.65253220999989	228872192	false(unreach-call)	10.67433828	6.119744558998718	231866368
recursive-simple/afterrec-2.yml	true	0.194179396	0.19276748099946417	22306816	true	7.864366599	4.441111051000007	152002560	true	10.462363544	6.1195652139999765	244891648	true	11.368493666	6.56977009900038	251650048
recursive-simple/afterrec_2calls-1.yml	false(unreach-call)	0.232428012	0.22023936999903526	22421504	false(unreach-call)	10.614232251	5.687598917000287	196411392	false(unreach-call)	11.48446035	6.517674138999837	249942016	false(unreach-call)	11.390298618	6.788751616999434	248516608
recursive-simple/afterrec_2calls-2.yml	true	0.195003397	0.19293680400005542	22347776	true	7.489856852	4.050270511000235	154353664	true	10.259822133	6.078846488000181	248352768	true	11.240823078	6.773003308000625	245174272
recursive-simple/fibo_10-1.yml	false(unreach-call)	10.665653528	10.654882963004638	37232640	false(unreach-call)	17.541961754	9.381005832000483	303669248	false(unreach-call)	46.136205857	27.224084049999874	1591058432	TIMEOUT	62.078262016	32.49508679000064	1136939008
recursive-simple/fibo_10-2.yml	ERROR (5)	10.597123342	10.600396531001024	37310464	true	15.70290825	8.129327748999458	256262144	OUT OF MEMORY	51.495507689	32.693908289999854	1999998976	TIMEOUT	62.078413914	32.33730856299917	1170051072
recursive-simple/fibo_15-1.yml	ERROR (5)	10.044168841	10.04934433499875	37601280	TIMEOUT	60.803167651	51.07844083299915	554397696	OUT OF MEMORY	46.555708827	31.26747216700005	1999998976	TIMEOUT	62.073882572	32.61251156599974	1210687488
recursive-simple/fibo_15-2.yml	false(unreach-call)	10.127783706	10.117537011996319	37470208	false(unreach-call)	56.82928625	34.28978321100021	1244229632	TIMEOUT	61.869510041	38.80037113599997	1653190656	TIMEOUT	62.049713584	32.57204688099955	1020981248
recursive-simple/fibo_20-1.yml	false(unreach-call)	10.112885909	10.10107829899789	37842944	TIMEOUT	60.774251686	35.672354684999846	1478373376	TIMEOUT	60.175792852	36.516927056999975	1999998976	TIMEOUT	62.033369661	33.106551860000764	943656960
recursive-simple/fibo_20-2.yml	ERROR (5)	10.036870568	10.04096396600653	37801984	TIMEOUT	60.992245041	47.0366802690005	618684416	OUT OF MEMORY	49.113996255	28.829603872000007	1999998976	TIMEOUT	62.071517173	32.517319227999906	1202188288
recursive-simple/fibo_25-1.yml	false(unreach-call)	11.229003981	11.2179233450006	34918400	TIMEOUT	60.923486723	37.14146162799989	1360961536	OUT OF MEMORY	58.575622302	35.49335569599998	1999998976	TIMEOUT	62.068502949	32.57525490599983	1173614592
recursive-simple/fibo_25-2.yml	ERROR (5)	11.129729129	11.133456985997327	35053568	TIMEOUT	60.986893621	37.6671673639994	1100722176	OUT OF MEMORY	49.570824117	29.548904299000014	1999998976	TIMEOUT	60.104920588	31.008540954000637	1225105408
recursive-simple/fibo_2calls_10-1.yml	true	2.009334196	2.0061926179987495	93216768	true	18.055518249	9.343469115000516	263802880	TIMEOUT	61.411905389	37.75540883999997	1639669760	TIMEOUT	62.070941047	32.77195381299862	1140240384
recursive-simple/fibo_2calls_10-2.yml	false(unreach-call)	2.047530265	2.0335015390010085	93188096	false(unreach-call)	17.730264883	9.455030465999698	319795200	TIMEOUT	60.318445845	36.694435628000065	1237954560	TIMEOUT	62.069292277	32.33542169300017	1044103168
recursive-simple/fibo_2calls_15-1.yml	false(unreach-call)	4.670001938	4.656329478995758	198799360	false(unreach-call)	51.676994294	31.631311995000033	1224462336	TIMEOUT	62.07187203	36.94100865099995	1284628480	TIMEOUT	62.062495803	32.47656178299985	1107419136
recursive-simple/fibo_2calls_15-2.yml	true	4.58145473	4.580960598999809	198885376	TIMEOUT	60.775839302	52.04460993199973	548491264	TIMEOUT	60.945532272	35.67137693099994	1068429312	TIMEOUT	62.059786357	32.52397885899882	1189253120
recursive-simple/fibo_2calls_2-1.yml	false(unreach-call)	0.244241859	0.23097742199752247	22581248	false(unreach-call)	9.464516278	5.037351432999458	183324672	false(unreach-call)	13.607844571	7.983511729000156	271753216	false(unreach-call)	15.042339831	8.494664116999047	286052352
